,arg_names,arg_text,arg_types,args_string,args_vals,class_name,link,module,section_name
0,"['damping', 'convergence_iter', 'max_iter', 'copy', 'preference', 'affinity', 'verbose']","['damping : float, optional, default: 0.5', 'convergence_iter : int, optional, default: 15', 'max_iter : int, optional, default: 200', 'copy : boolean, optional, default: True', 'preference : array-like, shape (n_samples,) or float, optional', 'affinity : string, optional, default=``euclidean``', 'verbose : boolean, optional, default: False']","[""<type 'float'>"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'bool'>"", ""<type 'numpy.ndarray'>"", ""<type 'str'>"", ""<type 'bool'>""]","damping=0.5, max_iter=200, convergence_iter=15, copy=True, preference=None, affinity='euclidean', verbose=False","[('damping', '0.5'), ('max_iter', '200'), ('convergence_iter', '15'), ('copy', 'True'), ('preference', 'None'), ('affinity', ""'euclidean'""), ('verbose', 'False')]",AffinityPropagation,http://scikit-learn.org/stable/modules/generated/sklearn.cluster.AffinityPropagation.html#sklearn.cluster.AffinityPropagation,sklearn.cluster,Clustering
1,"['n_clusters', 'connectivity', 'affinity', 'memory', 'n_components', 'compute_full_tree', 'linkage', 'pooling_func']","['n_clusters : int, default=2', 'connectivity : array-like or callable, optional', ""affinity : string or callable, default: 'euclidean'"", 'memory : Instance of joblib.Memory or string (optional)', 'n_components : int (optional)', ""compute_full_tree : bool or 'auto' (optional)"", ""linkage : {'ward', 'complete', 'average'}, optional, default: 'ward'"", 'pooling_func : callable, default=np.mean']","[""<type 'int'>"", ""(<built-in function callable>, <type 'numpy.ndarray'>)"", '<built-in function callable>', ""(<class 'joblib.memory.Memory'>, <type 'str'>)"", ""<type 'int'>"", ""<type 'bool'>"", None, '<built-in function callable>']","n_clusters=2, affinity='euclidean', memory=Memory(cachedir=None), connectivity=None, n_components=None, compute_full_tree='auto', linkage='ward', pooling_func=<function mean at 0x7f49277337b8>","[('n_clusters', '2'), ('affinity', ""'euclidean'""), ('memory', 'Memory(cachedir=None)'), ('connectivity', 'None'), ('n_components', 'None'), ('compute_full_tree', ""'auto'""), ('linkage', ""'ward'""), ('pooling_func', '<function mean at 0x7f49277337b8>')]",AgglomerativeClustering,http://scikit-learn.org/stable/modules/generated/sklearn.cluster.AgglomerativeClustering.html#sklearn.cluster.AgglomerativeClustering,sklearn.cluster,Clustering
2,"['threshold', 'branching_factor', 'n_clusters', 'compute_labels', 'copy']","['threshold : float, default 0.5', 'branching_factor : int, default 50', 'n_clusters : int, instance of sklearn.cluster model, default None', 'compute_labels : bool, default True', 'copy : bool, default True']","[""<type 'float'>"", ""<type 'int'>"", ""(<type 'int'>, <class 'sklearn.base.ClusterMixin'>)"", ""<type 'bool'>"", ""<type 'bool'>""]","threshold=0.5, branching_factor=50, n_clusters=3, compute_labels=True, copy=True","[('threshold', '0.5'), ('branching_factor', '50'), ('n_clusters', '3'), ('compute_labels', 'True'), ('copy', 'True')]",Birch,http://scikit-learn.org/stable/modules/generated/sklearn.cluster.Birch.html#sklearn.cluster.Birch,sklearn.cluster,Clustering
3,"['eps', 'min_samples', 'metric', 'algorithm', 'leaf_size', 'random_state: numpy.RandomState, optional']","['eps : float, optional', 'min_samples : int, optional', 'metric : string, or callable', ""algorithm : {'auto', 'ball_tree', 'kd_tree', 'brute'}, optional"", 'leaf_size : int, optional (default = 30)', 'random_state: numpy.RandomState, optional :']","[""<type 'float'>"", ""<type 'int'>"", '<built-in function callable>', None, ""<type 'int'>"", ""<type 'mtrand.RandomState'>""]","eps=0.5, min_samples=5, metric='euclidean', algorithm='auto', leaf_size=30, p=None, random_state=None","[('eps', '0.5'), ('min_samples', '5'), ('metric', ""'euclidean'""), ('algorithm', ""'auto'""), ('leaf_size', '30'), ('p', 'None'), ('random_state', 'None')]",DBSCAN,http://scikit-learn.org/stable/modules/generated/sklearn.cluster.DBSCAN.html#sklearn.cluster.DBSCAN,sklearn.cluster,Clustering
4,"['n_clusters', 'connectivity', 'affinity', 'memory', 'n_components', 'compute_full_tree', 'linkage', 'pooling_func']","['n_clusters : int, default 2', 'connectivity : array-like or callable, optional', ""affinity : string or callable, default 'euclidean'"", 'memory : Instance of joblib.Memory or string, optional', 'n_components : int (optional)', ""compute_full_tree : bool or 'auto', optional, default 'auto'"", ""linkage : {'ward', 'complete', 'average'}, optional, default 'ward'"", 'pooling_func : callable, default np.mean']","[""<type 'int'>"", ""(<built-in function callable>, <type 'numpy.ndarray'>)"", '<built-in function callable>', ""(<class 'joblib.memory.Memory'>, <type 'str'>)"", ""<type 'int'>"", ""<type 'bool'>"", None, '<built-in function callable>']","n_clusters=2, affinity='euclidean', memory=Memory(cachedir=None), connectivity=None, n_components=None, compute_full_tree='auto', linkage='ward', pooling_func=<function mean at 0x7f49277337b8>","[('n_clusters', '2'), ('affinity', ""'euclidean'""), ('memory', 'Memory(cachedir=None)'), ('connectivity', 'None'), ('n_components', 'None'), ('compute_full_tree', ""'auto'""), ('linkage', ""'ward'""), ('pooling_func', '<function mean at 0x7f49277337b8>')]",FeatureAgglomeration,http://scikit-learn.org/stable/modules/generated/sklearn.cluster.FeatureAgglomeration.html#sklearn.cluster.FeatureAgglomeration,sklearn.cluster,Clustering
5,"['n_clusters', 'max_iter', 'n_init', 'init', 'precompute_distances', 'tol', 'n_jobs', 'random_state', 'verbose', 'copy_x']","['n_clusters : int, optional, default: 8', 'max_iter : int, default: 300', 'n_init : int, default: 10', ""init : {'k-means++', 'random' or an ndarray}"", ""precompute_distances : {'auto', True, False}"", 'tol : float, default: 1e-4', 'n_jobs : int', 'random_state : integer or numpy.RandomState, optional', 'verbose : int, default 0', 'copy_x : boolean, default True']","[""<type 'int'>"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'numpy.ndarray'>"", None, ""<type 'float'>"", ""<type 'int'>"", ""(<type 'int'>, <type 'mtrand.RandomState'>)"", ""<type 'int'>"", ""<type 'bool'>""]","n_clusters=8, init='k-means++', n_init=10, max_iter=300, tol=0.0001, precompute_distances='auto', verbose=0, random_state=None, copy_x=True, n_jobs=1","[('n_clusters', '8'), ('init', ""'k-means++'""), ('n_init', '10'), ('max_iter', '300'), ('tol', '0.0001'), ('precompute_distances', ""'auto'""), ('verbose', '0'), ('random_state', 'None'), ('copy_x', 'True'), ('n_jobs', '1')]",KMeans,http://scikit-learn.org/stable/modules/generated/sklearn.cluster.KMeans.html#sklearn.cluster.KMeans,sklearn.cluster,Clustering
6,"['n_clusters', 'max_iter', 'max_no_improvement', 'tol', 'batch_size', 'init_size', 'init', 'n_init', 'compute_labels', 'random_state', 'reassignment_ratio', 'verbose']","['n_clusters : int, optional, default: 8', 'max_iter : int, optional', 'max_no_improvement : int, default: 10', 'tol : float, default: 0.0', 'batch_size : int, optional, default: 100', 'init_size : int, optional, default: 3 * batch_size', ""init : {'k-means++', 'random' or an ndarray}, default: 'k-means++'"", 'n_init : int, default=3', 'compute_labels : boolean, default=True', 'random_state : integer or numpy.RandomState, optional', 'reassignment_ratio : float, default: 0.01', 'verbose : boolean, optional']","[""<type 'int'>"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'float'>"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'numpy.ndarray'>"", ""<type 'int'>"", ""<type 'bool'>"", ""(<type 'int'>, <type 'mtrand.RandomState'>)"", ""<type 'float'>"", ""<type 'bool'>""]","n_clusters=8, init='k-means++', max_iter=100, batch_size=100, verbose=0, compute_labels=True, random_state=None, tol=0.0, max_no_improvement=10, init_size=None, n_init=3, reassignment_ratio=0.01","[('n_clusters', '8'), ('init', ""'k-means++'""), ('max_iter', '100'), ('batch_size', '100'), ('verbose', '0'), ('compute_labels', 'True'), ('random_state', 'None'), ('tol', '0.0'), ('max_no_improvement', '10'), ('init_size', 'None'), ('n_init', '3'), ('reassignment_ratio', '0.01')]",MiniBatchKMeans,http://scikit-learn.org/stable/modules/generated/sklearn.cluster.MiniBatchKMeans.html#sklearn.cluster.MiniBatchKMeans,sklearn.cluster,Clustering
7,"['bandwidth', 'seeds', 'bin_seeding', 'min_bin_freq', 'cluster_all', 'n_jobs']","['bandwidth : float, optional', 'seeds : array, shape=[n_samples, n_features], optional', 'bin_seeding : boolean, optional', 'min_bin_freq : int, optional', 'cluster_all : boolean, default True', 'n_jobs : int']","[""<type 'float'>"", ""<type 'numpy.ndarray'>"", ""<type 'bool'>"", ""<type 'int'>"", ""<type 'bool'>"", ""<type 'int'>""]","bandwidth=None, seeds=None, bin_seeding=False, min_bin_freq=1, cluster_all=True, n_jobs=1","[('bandwidth', 'None'), ('seeds', 'None'), ('bin_seeding', 'False'), ('min_bin_freq', '1'), ('cluster_all', 'True'), ('n_jobs', '1')]",MeanShift,http://scikit-learn.org/stable/modules/generated/sklearn.cluster.MeanShift.html#sklearn.cluster.MeanShift,sklearn.cluster,Clustering
8,"['n_clusters', 'affinity', 'gamma', 'degree', 'coef0', 'n_neighbors', 'eigen_solver', 'random_state', 'n_init', 'eigen_tol', 'assign_labels', 'kernel_params']","['n_clusters : integer, optional', ""affinity : string, array-like or callable, default 'rbf'"", 'gamma : float', 'degree : float, default=3', 'coef0 : float, default=1', 'n_neighbors : integer', ""eigen_solver : {None, 'arpack', 'lobpcg', or 'amg'}"", 'random_state : int seed, RandomState instance, or None (default)', 'n_init : int, optional, default: 10', 'eigen_tol : float, optional, default: 0.0', ""assign_labels : {'kmeans', 'discretize'}, default: 'kmeans'"", 'kernel_params : dictionary of string to any, optional']","[""<type 'int'>"", ""(<built-in function callable>, <type 'numpy.ndarray'>)"", ""<type 'float'>"", ""<type 'float'>"", ""<type 'float'>"", ""<type 'int'>"", None, ""(<type 'int'>, None, <type 'mtrand.RandomState'>)"", ""<type 'int'>"", ""<type 'float'>"", None, ""<type 'dict'>""]","n_clusters=8, eigen_solver=None, random_state=None, n_init=10, gamma=1.0, affinity='rbf', n_neighbors=10, eigen_tol=0.0, assign_labels='kmeans', degree=3, coef0=1, kernel_params=None","[('n_clusters', '8'), ('eigen_solver', 'None'), ('random_state', 'None'), ('n_init', '10'), ('gamma', '1.0'), ('affinity', ""'rbf'""), ('n_neighbors', '10'), ('eigen_tol', '0.0'), ('assign_labels', ""'kmeans'""), ('degree', '3'), ('coef0', '1'), ('kernel_params', 'None')]",SpectralClustering,http://scikit-learn.org/stable/modules/generated/sklearn.cluster.SpectralClustering.html#sklearn.cluster.SpectralClustering,sklearn.cluster,Clustering
9,"['store_precision', 'assume_centered']","['store_precision : bool', 'assume_centered : bool']","[""<type 'bool'>"", ""<type 'bool'>""]","store_precision=True, assume_centered=False","[('store_precision', 'True'), ('assume_centered', 'False')]",EmpiricalCovariance,http://scikit-learn.org/stable/modules/generated/sklearn.covariance.EmpiricalCovariance.html#sklearn.covariance.EmpiricalCovariance,sklearn.covariance,Covariance Estimators
