,arggroup,count,methods
0,"('arg', 'com', 'span', 'halflife', 'min_periods', 'bias', 'freq', 'how', 'ignore_na', 'adjust')",1,['ewmvar']
1,"('arg', 'com', 'span', 'halflife', 'min_periods', 'bias', 'ignore_na', 'adjust')",2,"['ewmstd', 'ewmvol']"
2,"('arg', 'com', 'span', 'halflife', 'min_periods', 'freq', 'adjust', 'how', 'ignore_na')",1,['ewma']
3,"('arg', 'freq')",1,['expanding_count']
4,"('arg', 'func', 'min_periods', 'freq', 'args', 'kwargs')",1,['expanding_apply']
5,"('arg', 'min_periods', 'freq')",9,"['expanding_kurt', 'expanding_max', 'expanding_mean', 'expanding_median', 'expanding_min', 'expanding_skew', 'expanding_std', 'expanding_sum', 'expanding_var']"
6,"('arg', 'quantile', 'min_periods', 'freq')",1,['expanding_quantile']
7,"('arg', 'window', 'freq', 'center', 'how')",1,['rolling_count']
8,"('arg', 'window', 'func', 'min_periods', 'freq', 'center', 'args', 'kwargs')",1,['rolling_apply']
9,"('arg', 'window', 'min_periods', 'freq', 'center', 'how')",9,"['rolling_kurt', 'rolling_max', 'rolling_mean', 'rolling_median', 'rolling_min', 'rolling_skew', 'rolling_std', 'rolling_sum', 'rolling_var']"
10,"('arg', 'window', 'quantile', 'min_periods', 'freq', 'center')",1,['rolling_quantile']
11,"('arg', 'window', 'win_type', 'min_periods', 'freq', 'center', 'mean', 'axis', 'how')",1,['rolling_window']
12,"('arg1', 'arg2', 'com', 'span', 'halflife', 'min_periods', 'bias', 'freq', 'pairwise', 'how', 'ignore_na', 'adjust')",1,['ewmcov']
13,"('arg1', 'arg2', 'com', 'span', 'halflife', 'min_periods', 'freq', 'pairwise', 'how', 'ignore_na', 'adjust')",1,['ewmcorr']
14,"('arg1', 'arg2', 'min_periods', 'freq', 'pairwise')",1,['expanding_corr']
15,"('arg1', 'arg2', 'min_periods', 'freq', 'pairwise', 'ddof')",1,['expanding_cov']
16,"('arg1', 'arg2', 'window', 'min_periods', 'freq', 'center', 'pairwise', 'how')",1,['rolling_corr']
17,"('arg1', 'arg2', 'window', 'min_periods', 'freq', 'center', 'pairwise', 'how', 'ddof')",1,['rolling_cov']
18,"('df1', 'df2', 'min_periods', 'freq')",1,['expanding_corr_pairwise']
19,"('df1', 'df2', 'window', 'min_periods', 'freq', 'center')",1,['rolling_corr_pairwise']
20,"('obj',)",1,['notnull']
21,"('wrapped', 'assigned', 'updated')",1,['wraps']
