,arg,count,methods
0,adjust,6,"['ewma', 'ewmcorr', 'ewmcov', 'ewmstd', 'ewmvar', 'ewmvol']"
1,arg,29,"['ewma', 'ewmstd', 'ewmvar', 'ewmvol', 'expanding_apply', 'expanding_count', 'expanding_kurt', 'expanding_max', 'expanding_mean', 'expanding_median', 'expanding_min', 'expanding_quantile', 'expanding_skew', 'expanding_std', 'expanding_sum', 'expanding_var', 'rolling_apply', 'rolling_count', 'rolling_kurt', 'rolling_max', 'rolling_mean', 'rolling_median', 'rolling_min', 'rolling_quantile', 'rolling_skew', 'rolling_std', 'rolling_sum', 'rolling_var', 'rolling_window']"
2,arg1,6,"['ewmcorr', 'ewmcov', 'expanding_corr', 'expanding_cov', 'rolling_corr', 'rolling_cov']"
3,arg2,6,"['ewmcorr', 'ewmcov', 'expanding_corr', 'expanding_cov', 'rolling_corr', 'rolling_cov']"
4,args,2,"['expanding_apply', 'rolling_apply']"
5,assigned,1,['wraps']
6,axis,1,['rolling_window']
7,bias,4,"['ewmcov', 'ewmstd', 'ewmvar', 'ewmvol']"
8,center,16,"['rolling_apply', 'rolling_corr', 'rolling_corr_pairwise', 'rolling_count', 'rolling_cov', 'rolling_kurt', 'rolling_max', 'rolling_mean', 'rolling_median', 'rolling_min', 'rolling_quantile', 'rolling_skew', 'rolling_std', 'rolling_sum', 'rolling_var', 'rolling_window']"
9,com,6,"['ewma', 'ewmcorr', 'ewmcov', 'ewmstd', 'ewmvar', 'ewmvol']"
10,ddof,2,"['expanding_cov', 'rolling_cov']"
11,df1,2,"['expanding_corr_pairwise', 'rolling_corr_pairwise']"
12,df2,2,"['expanding_corr_pairwise', 'rolling_corr_pairwise']"
13,freq,35,"['ewma', 'ewmcorr', 'ewmcov', 'ewmvar', 'expanding_apply', 'expanding_corr', 'expanding_corr_pairwise', 'expanding_count', 'expanding_cov', 'expanding_kurt', 'expanding_max', 'expanding_mean', 'expanding_median', 'expanding_min', 'expanding_quantile', 'expanding_skew', 'expanding_std', 'expanding_sum', 'expanding_var', 'rolling_apply', 'rolling_corr', 'rolling_corr_pairwise', 'rolling_count', 'rolling_cov', 'rolling_kurt', 'rolling_max', 'rolling_mean', 'rolling_median', 'rolling_min', 'rolling_quantile', 'rolling_skew', 'rolling_std', 'rolling_sum', 'rolling_var', 'rolling_window']"
14,func,2,"['expanding_apply', 'rolling_apply']"
15,halflife,6,"['ewma', 'ewmcorr', 'ewmcov', 'ewmstd', 'ewmvar', 'ewmvol']"
16,how,17,"['ewma', 'ewmcorr', 'ewmcov', 'ewmvar', 'rolling_corr', 'rolling_count', 'rolling_cov', 'rolling_kurt', 'rolling_max', 'rolling_mean', 'rolling_median', 'rolling_min', 'rolling_skew', 'rolling_std', 'rolling_sum', 'rolling_var', 'rolling_window']"
17,ignore_na,6,"['ewma', 'ewmcorr', 'ewmcov', 'ewmstd', 'ewmvar', 'ewmvol']"
18,kwargs,2,"['expanding_apply', 'rolling_apply']"
19,mean,1,['rolling_window']
20,min_periods,35,"['ewma', 'ewmcorr', 'ewmcov', 'ewmstd', 'ewmvar', 'ewmvol', 'expanding_apply', 'expanding_corr', 'expanding_corr_pairwise', 'expanding_cov', 'expanding_kurt', 'expanding_max', 'expanding_mean', 'expanding_median', 'expanding_min', 'expanding_quantile', 'expanding_skew', 'expanding_std', 'expanding_sum', 'expanding_var', 'rolling_apply', 'rolling_corr', 'rolling_corr_pairwise', 'rolling_cov', 'rolling_kurt', 'rolling_max', 'rolling_mean', 'rolling_median', 'rolling_min', 'rolling_quantile', 'rolling_skew', 'rolling_std', 'rolling_sum', 'rolling_var', 'rolling_window']"
21,obj,1,['notnull']
22,pairwise,6,"['ewmcorr', 'ewmcov', 'expanding_corr', 'expanding_cov', 'rolling_corr', 'rolling_cov']"
23,quantile,2,"['expanding_quantile', 'rolling_quantile']"
24,span,6,"['ewma', 'ewmcorr', 'ewmcov', 'ewmstd', 'ewmvar', 'ewmvol']"
25,updated,1,['wraps']
26,win_type,1,['rolling_window']
27,window,16,"['rolling_apply', 'rolling_corr', 'rolling_corr_pairwise', 'rolling_count', 'rolling_cov', 'rolling_kurt', 'rolling_max', 'rolling_mean', 'rolling_median', 'rolling_min', 'rolling_quantile', 'rolling_skew', 'rolling_std', 'rolling_sum', 'rolling_var', 'rolling_window']"
28,wrapped,1,['wraps']
