,args,defaults,keywords,method,varargs
0,"['array', 'accept_sparse', 'dtype', 'order', 'copy', 'force_all_finite', 'ensure_2d', 'allow_nd', 'ensure_min_samples', 'ensure_min_features', 'warn_on_dtype', 'estimator']","(None, 'numeric', None, False, True, True, False, 1, 1, False, None)",,check_array,
1,['seed'],,,check_random_state,
2,"['shape', 'n_clusters', 'noise', 'minval', 'maxval', 'shuffle', 'random_state']","(0.0, 10, 100, True, None)",,make_biclusters,
3,"['n_samples', 'n_features', 'centers', 'cluster_std', 'center_box', 'shuffle', 'random_state']","(100, 2, 3, 1.0, (-10.0, 10.0), True, None)",,make_blobs,
4,"['shape', 'n_clusters', 'noise', 'minval', 'maxval', 'shuffle', 'random_state']","(0.0, 10, 100, True, None)",,make_checkerboard,
5,"['n_samples', 'shuffle', 'noise', 'random_state', 'factor']","(100, True, None, None, 0.8)",,make_circles,
6,"['n_samples', 'n_features', 'n_informative', 'n_redundant', 'n_repeated', 'n_classes', 'n_clusters_per_class', 'weights', 'flip_y', 'class_sep', 'hypercube', 'shift', 'scale', 'shuffle', 'random_state']","(100, 20, 2, 2, 0, 2, 2, None, 0.01, 1.0, True, 0.0, 1.0, True, None)",,make_classification,
7,"['n_samples', 'n_features', 'noise', 'random_state']","(100, 10, 0.0, None)",,make_friedman1,
8,"['n_samples', 'noise', 'random_state']","(100, 0.0, None)",,make_friedman2,
9,"['n_samples', 'noise', 'random_state']","(100, 0.0, None)",,make_friedman3,
10,"['mean', 'cov', 'n_samples', 'n_features', 'n_classes', 'shuffle', 'random_state']","(None, 1.0, 100, 2, 3, True, None)",,make_gaussian_quantiles,
11,"['n_samples', 'random_state']","(12000, None)",,make_hastie_10_2,
12,"['n_samples', 'n_features', 'effective_rank', 'tail_strength', 'random_state']","(100, 100, 10, 0.5, None)",,make_low_rank_matrix,
13,"['n_samples', 'shuffle', 'noise', 'random_state']","(100, True, None, None)",,make_moons,
14,"['n_samples', 'n_features', 'n_classes', 'n_labels', 'length', 'allow_unlabeled', 'sparse', 'return_indicator', 'return_distributions', 'random_state']","(100, 20, 5, 2, 50, True, False, 'dense', False, None)",,make_multilabel_classification,
15,"['n_samples', 'n_features', 'n_informative', 'n_targets', 'bias', 'effective_rank', 'tail_strength', 'noise', 'shuffle', 'coef', 'random_state']","(100, 100, 10, 1, 0.0, None, 0.5, 0.0, True, False, None)",,make_regression,
16,"['n_samples', 'noise', 'random_state']","(100, 0.0, None)",,make_s_curve,
17,"['n_samples', 'n_components', 'n_features', 'n_nonzero_coefs', 'random_state']","(None,)",,make_sparse_coded_signal,
18,"['dim', 'alpha', 'norm_diag', 'smallest_coef', 'largest_coef', 'random_state']","(1, 0.95, False, 0.1, 0.9, None)",,make_sparse_spd_matrix,
19,"['n_samples', 'n_features', 'random_state']","(100, 10, None)",,make_sparse_uncorrelated,
20,"['n_dim', 'random_state']","(None,)",,make_spd_matrix,
21,"['n_samples', 'noise', 'random_state']","(100, 0.0, None)",,make_swiss_roll,
22,[],,options,util_shuffle,arrays
